"","UniID","mom","ID","temp","active","instar","dur_class","Mo","year"
"110","1 21","1",21,17,"y",4,6,17.81,"2024"
"111","1 21","1",21,17,"y",4,24,17.81,"2024"
"112","2 5","2",5,17,"y",4,0,19.8,"2024"
"113","2 5","2",5,17,"y",4,6,19.8,"2024"
"114","2 5","2",5,17,"y",4,24,19.8,"2024"
"115","2 6","2",6,17,"y",4,0,13.27,"2024"
"116","2 6","2",6,17,"y",4,6,13.27,"2024"
"117","2 6","2",6,17,"y",4,24,13.27,"2024"
"118","2 7","2",7,17,"y",4,0,9.16,"2024"
"119","2 7","2",7,17,"y",4,6,9.16,"2024"
"120","2 7","2",7,17,"y",4,24,9.16,"2024"
"121","2 8","2",8,17,"y",4,0,16.38,"2024"
"122","2 8","2",8,17,"y",4,6,16.38,"2024"
"123","2 8","2",8,17,"y",4,24,16.38,"2024"
"124","2 9","2",9,17,"y",4,0,18.37,"2024"
"125","2 9","2",9,17,"y",4,6,18.37,"2024"
"126","2 9","2",9,17,"y",4,24,18.37,"2024"
"127","4 12","4",12,11,"y",4,0,11.07,"2024"
"128","4 12","4",12,11,"y",4,6,11.07,"2024"
"129","4 12","4",12,11,"y",4,24,11.07,"2024"
"130","4 13","4",13,11,"y",4,0,16.87,"2024"
"131","4 13","4",13,11,"y",4,6,16.87,"2024"
"132","4 13","4",13,11,"y",4,24,16.87,"2024"
"133","4 14","4",14,11,"y",4,0,17.37,"2024"
"134","4 14","4",14,11,"y",4,6,17.37,"2024"
"135","4 14","4",14,11,"y",4,24,17.37,"2024"
"136","4 15","4",15,11,"y",4,0,11.92,"2024"
"137","4 15","4",15,11,"y",4,6,11.92,"2024"
"138","4 15","4",15,11,"y",4,24,11.92,"2024"
"139","4 16","4",16,11,"y",4,0,18.6,"2024"
"140","4 16","4",16,11,"y",4,6,18.6,"2024"
"141","4 16","4",16,11,"y",4,24,18.6,"2024"
"142","4 17","4",17,11,"y",4,0,11.37,"2024"
"143","4 17","4",17,11,"y",4,6,11.37,"2024"
"144","4 17","4",17,11,"y",4,24,11.37,"2024"
"145","5 2","5",2,11,"y",4,0,15.63,"2024"
"146","5 2","5",2,11,"y",4,6,15.63,"2024"
"147","5 2","5",2,11,"y",4,24,15.63,"2024"
"148","5 3","5",3,11,"y",4,0,11.24,"2024"
"149","5 3","5",3,11,"n",4,6,11.24,"2024"
"150","5 3","5",3,11,"y",4,24,11.24,"2024"
"151","5 4","5",4,11,"y",4,0,12.46,"2024"
"152","5 4","5",4,11,"y",4,6,12.46,"2024"
"153","5 4","5",4,11,"y",4,24,12.46,"2024"
"154","5 5","5",5,11,"y",4,0,12.38,"2024"
"155","5 5","5",5,11,"y",4,6,12.38,"2024"
"156","5 5","5",5,11,"y",4,24,12.38,"2024"
"157","5 6","5",6,11,"y",4,0,12.85,"2024"
"158","5 6","5",6,11,"y",4,6,12.85,"2024"
"159","5 6","5",6,11,"y",4,24,12.85,"2024"
"160","5 7","5",7,17,"y",4,0,15.8,"2024"
"161","5 7","5",7,17,"y",4,6,15.8,"2024"
"162","5 7","5",7,17,"y",4,24,15.8,"2024"
"163","5 8","5",8,17,"y",4,0,15.95,"2024"
"164","5 8","5",8,17,"y",4,6,15.95,"2024"
"165","5 8","5",8,17,"y",4,24,15.95,"2024"
"166","5 9","5",9,17,"y",4,0,17.36,"2024"
"167","5 9","5",9,17,"y",4,6,17.36,"2024"
"168","5 9","5",9,17,"y",4,24,17.36,"2024"
"169","5 10","5",10,17,"y",4,0,16.96,"2024"
"170","5 10","5",10,17,"y",4,6,16.96,"2024"
"171","5 10","5",10,17,"y",4,24,16.96,"2024"
"172","5 11","5",11,17,"y",4,0,14.31,"2024"
"173","5 11","5",11,17,"y",4,6,14.31,"2024"
"174","5 11","5",11,17,"y",4,24,14.31,"2024"
"175","2 10","2",10,11,"y",4,0,11.39,"2024"
"176","2 10","2",10,11,"y",4,6,11.39,"2024"
"177","2 10","2",10,11,"y",4,24,11.39,"2024"
"178","2 11","2",11,23,"y",4,0,9.41,"2024"
"179","2 11","2",11,23,"y",4,6,9.41,"2024"
"180","2 11","2",11,23,"y",4,24,9.41,"2024"
"181","2 12","2",12,23,"y",4,0,9.85,"2024"
"182","2 12","2",12,23,"y",4,6,9.85,"2024"
"183","2 12","2",12,23,"y",4,24,9.85,"2024"
"184","2 13","2",13,23,"y",4,0,15.45,"2024"
"185","2 13","2",13,23,"y",4,6,15.45,"2024"
"186","2 13","2",13,23,"y",4,24,15.45,"2024"
"187","2 14","2",14,23,"y",4,0,14.82,"2024"
"188","2 14","2",14,23,"y",4,6,14.82,"2024"
"189","2 14","2",14,23,"y",4,24,14.82,"2024"
"190","2 15","2",15,23,"y",4,0,15.96,"2024"
"191","2 15","2",15,23,"y",4,6,15.96,"2024"
"192","2 15","2",15,23,"y",4,24,15.96,"2024"
"193","5 12","5",12,23,"y",4,0,10.37,"2024"
"194","5 12","5",12,23,"y",4,6,10.37,"2024"
"195","5 12","5",12,23,"y",4,24,10.37,"2024"
"196","5 13","5",13,23,"y",4,0,13.47,"2024"
"197","5 13","5",13,23,"y",4,6,13.47,"2024"
"198","5 13","5",13,23,"y",4,24,13.47,"2024"
"199","5 14","5",14,23,"y",4,0,15.84,"2024"
"200","5 14","5",14,23,"y",4,6,15.84,"2024"
"201","5 14","5",14,23,"y",4,24,15.84,"2024"
"202","5 15","5",15,23,"y",4,0,11.08,"2024"
"203","5 15","5",15,23,"y",4,6,11.08,"2024"
"204","5 15","5",15,23,"y",4,24,11.08,"2024"
"205","5 16","5",16,23,"y",4,0,15.92,"2024"
