"","UniID","mom","ID","temp","active","instar","time","duration","Mo","fw","time.per","mgain","Jdate","rgrlog","gr"
"60","4 6","4",6,17,"y",4,0,0,9.9,9.9,"current",0,122,NA,NA
"61","4 6","4",6,17,"y",4,6,6,9.9,14.89,"current",4.99,122,0.029543250525771,0.831666666666667
"62","4 6","4",6,17,"y",4,24,-6.18333333333333,9.9,23.59,"current",13.69,123,0.0157121977620019,0.570416666666667
"63","1 11","1",11,23,"y",4,0,0,18.84,18.84,"current",0,122,NA,NA
"64","1 11","1",11,23,"y",4,6,6,18.84,29.2,"current",10.36,122,0.03171699216526,1.72666666666667
"65","1 11","1",11,23,"y",4,24.0166666666667,-6.16666666666667,18.84,49.83,"current",30.99,123,0.0175882021671422,1.29035392088827
"66","1 12","1",12,23,"y",4,0,0,13.46,13.46,"current",0,122,NA,NA
"67","1 12","1",12,23,"y",4,6,6,13.46,17.39,"current",3.93,122,0.0185424203524591,0.655
"68","1 12","1",12,23,"y",4,24.0166666666667,-6.16666666666667,13.46,40.23,"current",26.77,123,0.0197989579188051,1.1146426092991
"69","1 13","1",13,23,"y",4,0,0,12.03,12.03,"current",0,122,NA,NA
"70","1 13","1",13,23,"y",4,6,6,12.03,17.46,"current",5.43,122,0.026963102004951,0.905
"71","1 13","1",13,23,"y",4,24.0166666666667,-6.16666666666667,12.03,41.14,"current",29.11,123,0.0222345035399942,1.21207494795281
"72","1 14","1",14,23,"y",4,0,0,11.1,11.1,"current",0,122,NA,NA
"73","1 14","1",14,23,"y",4,6,6,11.1,15.54,"current",4.44,122,0.0243546726130397,0.74
"74","1 14","1",14,23,"y",4,24.0166666666667,-6.16666666666667,11.1,31.47,"current",20.37,123,0.0188441539539166,0.848160999306037
"75","1 15","1",15,23,"y",4,0,0,14.47,14.47,"current",0,122,NA,NA
"76","1 15","1",15,23,"y",4,6,6,14.47,22.98,"current",8.51,122,0.0334802488722048,1.41833333333333
"77","1 15","1",15,23,"y",4,24.0166666666667,-6.16666666666667,14.47,45.44,"current",30.97,123,0.0206927047155,1.28952116585704
"78","4 7","4",7,23,"y",4,0,0,11.46,11.46,"current",0,122,NA,NA
"79","4 7","4",7,23,"y",4,6,6,11.46,15.71,"current",4.25,122,0.0228319279014337,0.708333333333333
"80","4 7","4",7,23,"y",4,24.0166666666667,-6.16666666666667,11.46,32.62,"current",21.16,123,0.0189160030148322,0.881054823039556
"81","4 8","4",8,23,"y",4,0,0,11.54,11.54,"current",0,122,NA,NA
"82","4 8","4",8,23,"y",4,6,6,11.54,17.58,"current",6.04,122,0.0304688436530067,1.00666666666667
"83","4 8","4",8,23,"y",4,24.0166666666667,-6.16666666666667,11.54,41.22,"current",29.68,123,0.02302160355129,1.23580846634282
"84","4 9","4",9,23,"y",4,0,0,13.89,13.89,"current",0,122,NA,NA
"85","4 9","4",9,23,"y",4,6,6,13.89,20.89,"current",7,122,0.0295393657071155,1.16666666666667
"86","4 9","4",9,23,"y",4,24.0166666666667,-6.16666666666667,13.89,47.86,"current",33.97,123,0.0223707334575907,1.41443442054129
"87","4 10","4",10,23,"y",4,0,0,11.49,11.49,"current",0,122,NA,NA
"88","4 10","4",10,23,"y",4,6,6,11.49,16.17,"current",4.68,122,0.0247316652030193,0.78
"89","4 10","4",10,23,"y",4,24.0166666666667,-6.16666666666667,11.49,34.85,"current",23.36,123,0.0200645143821961,0.97265787647467
"90","4 11","4",11,23,"y",4,0,0,10.64,10.64,"current",0,122,NA,NA
"91","4 11","4",11,23,"y",4,6,6,10.64,18.65,"current",8.01,122,0.0406228680309462,1.335
"92","4 11","4",11,23,"y",4,24.0166666666667,-6.16666666666667,10.64,41.31,"current",30.67,123,0.0245293643449364,1.27702984038862
"93","1 16","1",16,17,"y",4,0,0,10.88,10.88,"current",0,122,NA,NA
"94","1 16","1",16,17,"y",4,6,6,10.88,11.58,"current",0.699999999999999,122,0.00451327733820935,0.116666666666667
"95","1 16","1",16,17,"y",4,24,-6.16666666666667,10.88,15.33,"current",4.45,123,0.00620471914550892,0.185416666666667
"96","1 17","1",17,17,"y",4,0,0,16.22,16.22,"current",0,122,NA,NA
"97","1 17","1",17,17,"y",4,6,6,16.22,22.38,"current",6.16,122,0.0233015387195323,1.02666666666667
"98","1 17","1",17,17,"y",4,24,-6.16666666666667,16.22,29.57,"current",13.35,123,0.0108666864437909,0.55625
"99","1 18","1",18,17,"y",4,0,0,9.67,9.67,"current",0,122,NA,NA
"100","1 18","1",18,17,"y",4,6,6,9.67,13.56,"current",3.89,122,0.0244722025746738,0.648333333333333
"101","1 18","1",18,17,"y",4,24,-6.16666666666667,9.67,21.1,"current",11.43,123,0.0141189992172788,0.47625
"102","1 19","1",19,17,"y",4,0,0,9.78,9.78,"current",0,122,NA,NA
"103","1 19","1",19,17,"y",4,6,6,9.78,11.91,"current",2.13,122,0.0142621511158627,0.355
"104","1 19","1",19,17,"y",4,24,-6.16666666666667,9.78,18.78,"current",9,123,0.0118065305476038,0.375
"105","1 20","1",20,17,"y",4,0,0,8.86,8.86,"current",0,122,NA,NA
"106","1 20","1",20,17,"y",4,6,6,8.86,11.99,"current",3.13,122,0.021897576868633,0.521666666666667
"107","1 20","1",20,17,"y",4,24,-6.16666666666667,8.86,18.68,"current",9.82,123,0.0134976312502927,0.409166666666667
"108","1 21","1",21,17,"y",4,0,0,17.81,17.81,"current",0,122,NA,NA
